,delta_time,x_bias,y_bias
97,49961986.29641579,-3.674782156016581,-0.2744502578699708
98,50221186.29641579,-3.4555469223260933,-0.07554109523155236
99,50480386.29641579,-3.7051883005747195,-0.14952837588576812
100,50739586.29641579,-3.8071348327234125,-0.24212876421078136
101,50998786.29641579,-3.0173809930283255,0.0880899194840434
102,51257986.29641579,-4.549206828570693,0.09416316682331718
103,51517186.29641579,-4.009672906243541,0.09261479042807706
104,51776386.29641579,-3.771562832439726,-0.09013785806386457
105,52035586.29641579,-3.8260710743680897,0.13893013780683594
106,52294786.29641579,-1.7410510224252107,0.644466762736602
107,52553986.29641579,0.36397883346806237,0.7656299747568825
108,52813186.29641579,0.5724084362025456,-0.05078648002070114
109,53072386.29641579,0.7271314292437039,-1.3412683575695008
110,53331586.29641579,-1.2269720747841664,-2.552957692853546
111,53590786.29641579,-0.19651324355885424,-2.148101962350167
112,53849986.29641579,1.776504245509276,-0.9181629761178276
113,54109186.29641579,1.7658136601267445,-1.0280011037217518
114,54368386.29641579,0.38184092259457436,-2.4060143767608433
115,54627586.29641579,0.26092947031064184,-0.764208838953569
116,54886786.29641579,-0.36450226391755847,-1.5707526865919745
117,55145986.29641579,-0.17664745278595442,-1.8571322829079877
118,55405186.29641579,0.892597294509572,-1.3271443572677584
119,55664386.29641579,1.1787003049706515,-1.076907895529106
120,55923586.29641579,1.2308492831818019,-1.224074747391674
121,56182786.29641579,1.3603261206889377,-0.6545310705168852
122,56441986.29641579,1.7726289619286935,0.1529965956560579
123,56701186.29641579,1.4830974985668202,0.5173826480734268
124,56960386.29641579,1.7055954375845688,0.9257298181886766
125,57219586.29641579,1.6261751229423185,1.148146022417728
126,57478786.29641579,2.058751675657143,1.4004408776733148
127,57737986.29641579,1.1589375888464697,1.2086116889036689
128,57997186.29641579,1.1108181733958695,0.38623594235863584
129,58256386.29641579,0.307383648199562,1.2242432177880187
130,58515586.29641579,-0.2685186905718804,1.404537881112669
131,58774786.29641579,-0.8780167637186373,1.5182162720876373
132,59033986.29641579,-0.9699513349001363,1.6072187041806965
133,59293186.29641579,-1.123365571325387,1.1165889640123554
134,59552386.29641579,-2.017450751893469,0.6584483577990782
135,59811586.29641579,-2.3263086077052626,0.022548045343574824
136,60070786.29641579,-1.8943696653963993,-0.771217286693539
137,60329986.29641579,-1.680215646709131,-1.3230378569923997
138,60589186.29641579,-1.110622467234555,-1.581404229334471
139,60848386.29641579,-0.5659406498897918,-1.7539053643186278
140,61107586.29641579,0.40729683595860955,-1.756103010898627
141,61366786.29641579,0.930205746310137,-1.6066443374154216
142,61625986.29641579,-0.09517381168270111,-1.3016527955600472
143,61885186.29641579,-0.9804342756653958,-0.9162876780565652
144,62144386.29641579,-2.0561593773874884,-0.6858068028301412
145,62403586.29641579,-1.6685567182940262,-0.7326991168683399
146,62662786.29641579,0.6276530002964256,0.7851122242552739
147,62921986.29641579,-0.8578957109421351,1.18168311868533
148,63181186.29641579,-1.1961182996584228,0.4137569559682482
149,63440386.29641579,-2.76934713088117,-0.48627274586831776
150,63699586.29641579,-3.0275047650265474,-0.20966895283714224
151,63958786.29641579,-2.0151982573993674,-0.19230102164218374
152,64217986.29641579,-1.9590010093947512,-0.3138281320008682
153,64477186.29641579,-2.0521562263206397,-0.08599146782235134
154,64736386.29641579,-0.20230697628653138,2.0001048607922893
155,64995586.29641579,1.1322539205327393,2.388863931854241
156,65254786.29641579,1.170386162890494,2.313282871455655
157,65513986.29641579,1.4142733945140447,2.9240484573474927
158,65773186.29641579,2.631362427691575,2.523959561055935
159,66032386.29641579,0.5347318044931054,1.161659782195636
160,66291586.29641579,-0.4949218664497578,0.4858097461428684
161,66550786.29641579,-0.23237513563873854,0.45258671988008925
162,66809986.29641579,-0.7993566905584042,1.1093649163522357
163,67069186.29641579,0.28730056456991926,1.6206315671442764
164,67328386.29641579,1.6637213487311202,1.7609579947449485
